%time,field.x,field.y,field.z
8249.158,-6.160590451557399,1.7849283523787751,1.5332059459477219
8249.158,-6.160756812812149,1.7846628866528855,1.5332181457696905
8249.158,-6.160923147139252,1.7843973891636875,1.5332303374080052
8249.158,-6.161089454312714,1.7841318598448308,1.533242521043924
8249.158,-6.161255734108245,1.7838662986283615,1.533254696816086
8249.158,-6.161421986304551,1.7836007054432998,1.5332668650040329
8249.158,-6.161588210682975,1.7833350802193038,1.5332790258295454
8249.158,-6.161754407026334,1.7830694228855606,1.533291179464501
8249.158,-6.16192057511745,1.7828037333703006,1.5333033260358089
8249.158,-6.162086714738027,1.7825380116048155,1.5333154652703795
8249.158,-6.162252825668579,1.7822722575163432,1.533327596900267
8249.158,-6.162418907688695,1.7820064710311945,1.5333397206584882
8249.158,-6.162584960577549,1.7817406520750243,1.5333518362819343
8249.158,-6.162750984113621,1.7814748005696883,1.5333639438732385
8249.159,-6.1629169780745645,1.7812089164327065,1.5333760434955666
8249.16,-6.163082942237894,1.780942999581984,1.5333881351735401
8249.161,-6.163248876381747,1.7806770499361984,1.5334002189019207
8249.162,-6.163414780285578,1.7804110674115452,1.5334122948788256
8249.163,-6.163580653729531,1.7801450519220203,1.5334243632537221
8249.164,-6.163746496495155,1.7798790033809329,1.5334364241304959
8249.165,-6.1639123083663865,1.7796129217013672,1.5334484775732875
8249.166,-6.164078089131072,1.7793468067960192,1.5334605236111563
8249.167,-6.164243838580369,1.7790806585770778,1.5334725622432184
8249.168,-6.164409556507772,1.778814476956339,1.5334845934424097
8249.169,-6.164575242707833,1.7785482618456503,1.5334966171584588
8249.17,-6.16474089697589,1.7782820131549393,1.5335086334842796
8249.171,-6.164906519106922,1.778015730795334,1.5335206424948944
8249.172,-6.165072108895446,1.7777494146771597,1.533532644251021
8249.173,-6.165237666135745,1.7774830647098716,1.5335446387986982
8249.174,-6.165403190621095,1.7772166808021892,1.5335566262668674
8249.175,-6.165568682145355,1.7769502628624019,1.5335686067592045
8249.176,-6.16573414050347,1.7766838107998646,1.533580580356005
8249.177,-6.165899565491717,1.776417324525102,1.53359254711835
8249.178,-6.166064956905935,1.776150803951287,1.5336045068635265
8249.179,-6.16623031454281,1.7758842489924958,1.5336164594047454
8249.18,-6.166395638200185,1.7756176595626965,1.5336284045523538
8249.181,-6.166560927677475,1.7753510355758388,1.5336403421134388
8249.182,-6.166726182776371,1.7750843769430698,1.5336522722512549
8249.183,-6.166891403300193,1.7748176835761962,1.5336641951015468
8249.184,-6.167056589053897,1.77455095538843,1.5336761107758168
8249.184,-6.1672217398444165,1.7742841922940238,1.5336880193653903
8249.185,-6.167386855481037,1.7740173942074073,1.5336999209440487
8249.187,-6.167551935774829,1.7737505610411959,1.5337118156788199
8249.188,-6.167716980538694,1.7734836927106523,1.5337237037090317
8249.189,-6.167881989586748,1.7732167891303539,1.5337355851521306
8249.19,-6.168046962735006,1.7729498502096628,1.5337474605098136
8249.19,-6.16821189980161,1.7726828758596005,1.5337593302308583
8249.191,-6.168376800606802,1.772415865991932,1.5337711947180097
8249.191,-6.16854166497265,1.7721488205186555,1.5337830543322033
8249.193,-6.168706492722196,1.771881739355563,1.5337949090357468
8249.194,-6.168871283679503,1.771614622417037,1.533806758780587
8249.196,-6.169036037669786,1.7713474696170513,1.5338186035077277
8249.197,-6.169200754519505,1.7710802808692978,1.5338304431488323
8249.198,-6.1693654340558055,1.7708130560810542,1.5338422784378598
8249.198,-6.169530076107503,1.7705457951570776,1.5338541100196899
8249.2,-6.169694680505366,1.7702784980049224,1.5338659384558238
